case_name,predicted_output,expected_output,correct,input_tokens,output_tokens,latency,cost,expt_name
ex044,1,0,False,5554.0,19959.0,361.6096456050873,0.007653900000000001,murder_baseline_64k
ex098,"**exception raised**: litellm.BadGatewayError: BadGatewayError: Together_aiException - <!DOCTYPE html>
<!--[if lt IE 7]> <html class=""no-js ie6 oldie"" lang=""en-US""> <![endif]-->
<!--[if IE 7]>    <html class=""no-js ie7 oldie"" lang=""en-US""> <![endif]-->
<!--[if IE 8]>    <html class=""no-js ie8 oldie"" lang=""en-US""> <![endif]-->
<!--[if gt IE 8]><!--> <html class=""no-js"" lang=""en-US""> <!--<![endif]-->
<head>

<title> | 502: Bad gateway</title>
<meta charset=""UTF-8"" />
<meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8"" />
<meta http-equiv=""X-UA-Compatible"" content=""IE=Edge"" />
<meta name=""robots"" content=""noindex, nofollow"" />
<meta name=""viewport"" content=""width=device-width,initial-scale=1"" />
<link rel=""stylesheet"" id=""cf_styles-css"" href=""/cdn-cgi/styles/main.css"" />
</head>
<body>
<div id=""cf-wrapper"">
    <div id=""cf-error-details"" class=""p-0"">
        <header class=""mx-auto pt-10 lg:pt-6 lg:px-8 w-240 lg:w-full mb-8"">
            <h1 class=""inline-block sm:block sm:mb-2 font-light text-60 lg:text-4xl text-black-dark leading-tight mr-2"">
                <span class=""inline-block"">Bad gateway</span>
                <span class=""code-label"">Error code 502</span>
            </h1>
            <div>
                Visit <a href=""https://www.cloudflare.com/5xx-error-landing?utm_source=errorcode_502&utm_campaign=api.together.xyz"" target=""_blank"" rel=""noopener noreferrer"">cloudflare.com</a> for more information.
            </div>
            <div class=""mt-3"">2026-03-23 14:34:07 UTC</div>
        </header>
        <div class=""my-8 bg-gradient-gray"">
            <div class=""w-240 lg:w-full mx-auto"">
                <div class=""clearfix md:px-8"">
                    <div id=""cf-browser-status"" class="" relative w-1/3 md:w-full py-15 md:p-0 md:py-8 md:text-left md:border-solid md:border-0 md:border-b md:border-gray-400 overflow-hidden float-left md:float-none text-center"">
  <div class=""relative mb-10 md:m-0"">
    
    <span class=""cf-icon-browser block md:hidden h-20 bg-center bg-no-repeat""></span>
    <span class=""cf-icon-ok w-12 h-12 absolute left-1/2 md:left-auto md:right-0 md:top-0 -ml-6 -bottom-4""></span>
    
  </div>
  <span class=""md:block w-full truncate"">You</span>
  <h3 class=""md:inline-block mt-3 md:mt-0 text-2xl text-gray-600 font-light leading-1.3"">
  
    Browser
  
  </h3>
  
  <span class=""leading-1.3 text-2xl text-green-success"">Working</span>
  
</div>
                    <div id=""cf-cloudflare-status"" class="" relative w-1/3 md:w-full py-15 md:p-0 md:py-8 md:text-left md:border-solid md:border-0 md:border-b md:border-gray-400 overflow-hidden float-left md:float-none text-center"">
  <div class=""relative mb-10 md:m-0"">
    <a href=""https://www.cloudflare.com/5xx-error-landing?utm_source=errorcode_502&#38;utm_campaign=api.together.xyz"" target=""_blank"" rel=""noopener noreferrer"">
    <span class=""cf-icon-cloud block md:hidden h-20 bg-center bg-no-repeat""></span>
    <span class=""cf-icon-ok w-12 h-12 absolute left-1/2 md:left-auto md:right-0 md:top-0 -ml-6 -bottom-4""></span>
    </a>
  </div>
  <span class=""md:block w-full truncate"">Pittsburgh</span>
  <h3 class=""md:inline-block mt-3 md:mt-0 text-2xl text-gray-600 font-light leading-1.3"">
  <a href=""https://www.cloudflare.com/5xx-error-landing?utm_source=errorcode_502&utm_campaign=api.together.xyz"" target=""_blank"" rel=""noopener noreferrer"">
    Cloudflare
  </a>
  </h3>
  
  <span class=""leading-1.3 text-2xl text-green-success"">Working</span>
  
</div>
                    <div id=""cf-host-status"" class=""cf-error-source relative w-1/3 md:w-full py-15 md:p-0 md:py-8 md:text-left md:border-solid md:border-0 md:border-b md:border-gray-400 overflow-hidden float-left md:float-none text-center"">
  <div class=""relative mb-10 md:m-0"">
    
    <span class=""cf-icon-server block md:hidden h-20 bg-center bg-no-repeat""></span>
    <span class=""cf-icon-error w-12 h-12 absolute left-1/2 md:left-auto md:right-0 md:top-0 -ml-6 -bottom-4""></span>
    
  </div>
  <span class=""md:block w-full truncate"">api.together.xyz</span>
  <h3 class=""md:inline-block mt-3 md:mt-0 text-2xl text-gray-600 font-light leading-1.3"">
  
    Host
  
  </h3>
  
  <span class=""leading-1.3 text-2xl text-red-error"">Error</span>
  
</div>
                </div>
            </div>
        </div>

        <div class=""w-240 lg:w-full mx-auto mb-8 lg:px-8"">
            <div class=""clearfix"">
                <div class=""w-1/2 md:w-full float-left pr-6 md:pb-10 md:pr-0 leading-relaxed"">
                    <h2 class=""text-3xl font-normal leading-1.3 mb-4"">What happened?</h2>
                    <p>The web server reported a bad gateway error.</p>
                </div>
                <div class=""w-1/2 md:w-full float-left leading-relaxed"">
                    <h2 class=""text-3xl font-normal leading-1.3 mb-4"">What can I do?</h2>
                    <p class=""mb-6"">Please try again in a few minutes.</p>
                </div>
            </div>
        </div>

        <div class=""cf-error-footer cf-wrapper w-240 lg:w-full py-10 sm:py-4 sm:px-8 mx-auto text-center sm:text-left border-solid border-0 border-t border-gray-300"">
    <p class=""text-13"">
      <span class=""cf-footer-item sm:block sm:mb-1"">Cloudflare Ray ID: <strong class=""font-semibold"">9e0e24d5bc54143a</strong></span>
      <span class=""cf-footer-separator sm:hidden"">&bull;</span>
      <span id=""cf-footer-item-ip"" class=""cf-footer-item hidden sm:block sm:mb-1"">
        Your IP:
        <button type=""button"" id=""cf-footer-ip-reveal"" class=""cf-footer-ip-reveal-btn"">Click to reveal</button>
        <span class=""hidden"" id=""cf-footer-ip"">71.61.199.106</span>
        <span class=""cf-footer-separator sm:hidden"">&bull;</span>
      </span>
      <span class=""cf-footer-item sm:block sm:mb-1""><span>Performance &amp; security by</span> <a rel=""noopener noreferrer"" href=""https://www.cloudflare.com/5xx-error-landing?utm_source=errorcode_502&#38;utm_campaign=api.together.xyz"" id=""brand_link"" target=""_blank"">Cloudflare</a></span>
      
    </p>
    <script>(function(){function d(){var b=a.getElementById(""cf-footer-item-ip""),c=a.getElementById(""cf-footer-ip-reveal"");b&&""classList""in b&&(b.classList.remove(""hidden""),c.addEventListener(""click"",function(){c.classList.add(""hidden"");a.getElementById(""cf-footer-ip"").classList.remove(""hidden"")}))}var a=document;document.addEventListener&&a.addEventListener(""DOMContentLoaded"",d)})();</script>
  </div><!-- /.error-footer -->

    </div>
</div>
</body>
</html>",0,False,1515.0,4958.0,101.59757256507874,0.0019418999999999999,murder_baseline_64k
ex184,0,0,True,5273.0,12763.0,225.13478803634644,0.0054107999999999995,murder_baseline_64k
ex123,0,1,False,10350.0,29448.0,624.4235992431641,0.0119394,murder_baseline_64k
ex121,1,1,True,6070.0,20446.0,373.52297830581665,0.0079548,murder_baseline_64k
ex167,1,1,True,6671.0,20036.0,346.0031943321228,0.0080121,murder_baseline_64k
ex009,0,1,False,6749.0,21862.0,409.2741780281067,0.0085833,murder_baseline_64k
ex176,0,0,True,6057.0,17233.0,311.37457847595215,0.006987,murder_baseline_64k
ex197,1,1,True,5872.0,19217.0,347.54865288734436,0.007526700000000001,murder_baseline_64k
ex113,1,1,True,5303.0,18404.0,341.49608063697815,0.0071121,murder_baseline_64k
